#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), S11re (), S11im (), S11dB (dB), S11Ph (rad), S22re (), S22im (), S22dB (dB), S22Ph (rad), Power (dBm)
5.1712740000e+09, -4.6400390000e-03, -8.2746590000e-04, -4.6533602954e+01, -1.8879207083e+03, 1.4405250000e-02, -3.6347710000e-02, -2.8156870387e+01, -1.1934681533e+00, -3.2335830000e-02, 1.0724000000e-02, -2.9353136627e+01, -1.0904528806e+03, 0.0000000000e+00
5.1739720000e+09, -3.3605230000e-03, 3.4785440000e-03, -4.6309069652e+01, -1.8888998381e+03, 1.4348160000e-02, -3.6693500000e-02, -2.8090292001e+01, -1.1980488926e+00, -2.5136220000e-03, 1.7129360000e-02, -3.5232650489e+01, -1.0915577435e+03, 0.0000000000e+00
5.1766700000e+09, 1.1205440000e-03, 4.5868230000e-03, -4.6518010147e+01, -1.8899075845e+03, 1.4127760000e-02, -3.6842120000e-02, -2.8077294043e+01, -1.2046227358e+00, 2.1880000000e-02, 3.1243980000e-03, -3.3111387544e+01, -1.0931324054e+03, 0.0000000000e+00
5.1793680000e+09, 4.4678660000e-03, 1.5570450000e-03, -4.6500193155e+01, -1.8909034408e+03, 1.3932840000e-02, -3.6733710000e-02, -2.8114963260e+01, -1.2082672306e+00, 2.9917320000e-02, -2.1615560000e-02, -2.8657341071e+01, -1.0938999175e+03, 0.0000000000e+00
5.1820660000e+09, 3.7416160000e-03, -2.9014920000e-03, -4.6493964300e+01, -1.8918983779e+03, 1.3818220000e-02, -3.6504820000e-02, -2.8171446889e+01, -1.2089332497e+00, 1.9696680000e-02, -4.3791350000e-02, -2.6372082123e+01, -1.0944223649e+03, 0.0000000000e+00
5.1847640000e+09, -3.4689690000e-04, -4.6845240000e-03, -4.6562940495e+01, -1.8928834906e+03, 1.3929240000e-02, -3.6302620000e-02, -2.8204757995e+01, -1.2044219680e+00, -2.3034090000e-03, -5.2448370000e-02, -2.5596991658e+01, -1.0948889292e+03, 0.0000000000e+00
5.1874620000e+09, -4.0495780000e-03, -2.2099770000e-03, -4.6719655160e+01, -1.8938808110e+03, 1.4300640000e-02, -3.6276450000e-02, -2.8180166806e+01, -1.1952888715e+00, -2.4436570000e-02, -4.2861280000e-02, -2.6136374481e+01, -1.0953632076e+03, 0.0000000000e+00
5.1901600000e+09, -4.0937470000e-03, 2.1621580000e-03, -4.6689030201e+01, -1.8948662920e+03, 1.4687010000e-02, -3.6416830000e-02, -2.8119455463e+01, -1.1874459433e+00, -3.3441280000e-02, -1.8644430000e-02, -2.8338855888e+01, -1.0959072321e+03, 0.0000000000e+00
5.1928580000e+09, -4.8190150000e-04, 4.7234340000e-03, -4.6469871753e+01, -1.8958494947e+03, 1.5000380000e-02, -3.6886240000e-02, -2.7998046917e+01, -1.1845566321e+00, -2.0360090000e-02, 6.8972010000e-03, -3.3352596646e+01, -1.0967424634e+03, 0.0000000000e+00
5.1955560000e+09, 3.6569620000e-03, 2.8814820000e-03, -4.6640146549e+01, -1.8968546163e+03, 1.4745820000e-02, -3.7313740000e-02, -2.7932403791e+01, -1.1944479308e+00, 1.0209420000e-02, 1.5551950000e-02, -3.4608041660e+01, -1.0985675440e+03, 0.0000000000e+00
